Source:;C:\Users\Ivan\Desktop\Practicas-Curso-Kicad\Dmytrow_Ivan\Ejercicio2\Ejercicio2.sch;;;;;;
Date:;01/12/2015 17:00;;;;;;
Tool:;Eeschema 4.0.0-rc1-stable;;;;;;
Generator:;C:/Users/Ivan/Desktop/Practicas-Curso-Kicad/Dmytrow_Ivan/Ejercicio2/tools/bom_csv_grouped_by_value.py;;;;;;
Component Count:;13;;;;;;
;;;;;;;
Individual Components:;;;;;;;
;;;;;;;
Item;Qty;Reference(s);Value;LibPart;Footprint;Datasheet;Digikey/Mouser
;;C1;C;ej2:C;;;
;;C2;C;ej2:C;;;
;;C3;C;ej2:C;;;
;;C4;C;ej2:C;;;
;;C5;C;ej2:C;;;
;;C6;C;ej2:C;;;
;;J1;DB9;ej2:DB9;;;
;;JP1;CONN_3;ej2:CONN_3;;;
;;R1;R;ej2:R;;;Y149660R0000A0R-ND
;;R2;R;ej2:R;;;Y149660R0000A0R-ND
;;U1;SSP3232;ej2:SSP3232;;;
;;U2;AMIS42665TJAA1RG;ej2:AMIS42665TJAA1RG;;;
;;XA1;Conn_Poncho2P_2x_20x2;ej2:Conn_Poncho2P_2x_20x2;;;
;;;;;;;
;;;;;;;
;;;;;;;
Collated Components:;;;;;;;
;;;;;;;
Item;Qty;Reference(s);Value;LibPart;Footprint;Datasheet;Digikey/Mouser
1;6;C1, C2, C3, C4, C5, C6;C;ej2:C;;;
2;1;J1;DB9;ej2:DB9;;;
3;1;JP1;CONN_3;ej2:CONN_3;;;
4;2;R1, R2;R;ej2:R;;;Y149660R0000A0R-ND
5;1;U1;SSP3232;ej2:SSP3232;;;
6;1;U2;AMIS42665TJAA1RG;ej2:AMIS42665TJAA1RG;;;
7;1;XA1;Conn_Poncho2P_2x_20x2;ej2:Conn_Poncho2P_2x_20x2;;;
