Source:,/home/santiago/KiCad.Projects/Practicas-Curso-Kicad/Nolasco_Santiago/ej2/ej2.sch
Date:,mar 01 dic 2015 17:00:57 ART
Tool:,Eeschema 0.201511251016+6329~38~ubuntu14.04.1-stable
Generator:,/home/santiago/KiCad.Projects/Practicas-Curso-Kicad/Nolasco_Santiago/ej2/tools/bom_csv_grouped_by_value.py
Component Count:,13

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Digikey/Mouser
,,C1,100nF,ej2:C,,,311-1179-1-ND
,,C2,100nF,ej2:C,,,
,,C3,100nF,ej2:C,,,
,,C4,100nF,ej2:C,,,
,,C5,100nF,ej2:C,,,
,,C6,100nF,ej2:C,,,
,,J1,DB9,ej2:DB9,,,
,,JP1,CONN_3,ej2:CONN_3,,,
,,R1,60,ej2:R,,,
,,R2,60,ej2:R,,,
,,U1,AMIS42665TJAA1RG,ej2:AMIS42665TJAA1RG,,,A19470-ND
,,U2,SP3232v1,ej2:SP3232v1,,,1016-1803-1-ND
,,XA1,Conn_Poncho2P_2x_20x2,ej2:Conn_Poncho2P_2x_20x2,,,



Collated Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Digikey/Mouser
1,6,"C1, C2, C3, C4, C5, C6",100nF,ej2:C,,,311-1179-1-ND
2,1,J1,DB9,ej2:DB9,,,
3,1,JP1,CONN_3,ej2:CONN_3,,,
4,2,"R1, R2",60,ej2:R,,,
5,1,U1,AMIS42665TJAA1RG,ej2:AMIS42665TJAA1RG,,,A19470-ND
6,1,U2,SP3232v1,ej2:SP3232v1,,,1016-1803-1-ND
7,1,XA1,Conn_Poncho2P_2x_20x2,ej2:Conn_Poncho2P_2x_20x2,,,
